1,Butterfly Bun,1.0,1
2,You Tiao,1.0,2
3,Soya Bean,2.0,3
4,Fried Bun Red Bean,1.0,4
5,Cinamon Fried Bun,1.0,5
6,Tao Foo Far,2.2,6
7,Dry Scallop Porridge,2.5,7
A1,Set A - Butterfly Bun + Porridge,3.2,1,7
A2,Set A - You Tiao + Porridge,3.2,2,7
A4,Set A - Fried Bun Red Bean + Porridge,3.2,4,7
B1,Set B - Butterfly Bun + Soya Bean,2.8,1,3
B2,Set B - You Tiao + Soya Bean,2.8,2,3
B4,Set B - Fried Bun Red Bean + Soya Bean,2.8,4,3
C1,Set C - Butterfly Bun + Porridge + Soya Bean,4.9,1,3,7
C2,Set C - You Tiao + Porridge + Soya Bean,4.9,2,3,7
C4,Set C - Fried Bun Red Bean + Porridge + Soya Bean,4.9,4,3,7
D,Set D - Tao Foo Far + Soya Bean,3.9,3,6
E1,Set E - Butterfly Bun + Porridge + Tao Foo Far + Soya Bean,6.9,1,3,6,7
E2,Set E - You Tiao + Porridge + Tao Foo Far + Soya Bean,6.9,2,3,6,7
E4,Set E - Fried Bun Red Bean + Porridge + Tao Foo Far + Soya Bean,6.9,4,3,6,7





